move_no,by,sr,sc,er,ec,cap,promoted,swap,timestamp
84,WHITE,7,6,2,1,P,False,False,2025-11-22T01:15:11.595766Z
85,GREY,4,6,5,7,,False,False,2025-11-22T01:15:12.646391Z
86,BLACK,1,7,3,7,,False,False,2025-11-22T01:15:13.676825Z
87,WHITE,2,1,5,4,,False,False,2025-11-22T01:15:14.710166Z
88,GREY,5,7,7,5,,False,False,2025-11-22T01:15:15.768256Z
89,BLACK,0,5,1,4,,False,False,2025-11-22T01:15:16.816889Z
90,WHITE,5,4,9,0,R,False,False,2025-11-22T01:15:17.856106Z
91,GREY,7,5,5,7,,False,False,2025-11-22T01:15:18.899043Z
92,BLACK,0,9,0,3,,False,False,2025-11-22T01:15:19.934432Z
93,WHITE,9,0,5,4,,False,False,2025-11-22T01:15:20.957229Z
94,GREY,5,7,7,5,,False,False,2025-11-22T01:15:22.009871Z
95,BLACK,0,3,8,3,,False,False,2025-11-22T01:15:23.029837Z
96,WHITE,5,4,7,6,,False,False,2025-11-22T01:15:24.061590Z
97,GREY,7,5,5,7,,False,False,2025-11-22T01:15:25.095988Z
98,BLACK,8,3,6,3,,False,False,2025-11-22T01:15:26.145916Z
99,WHITE,7,6,9,4,,False,False,2025-11-22T01:15:27.193075Z
100,GREY,5,2,6,3,R,False,False,2025-11-22T01:15:28.243648Z
101,WHITE,9,4,5,8,,False,False,2025-11-22T01:15:29.288150Z
